사고월,사고일,합계,과로,과속,앞지르기 방법위반,앞지르기 금지위반,중앙선 침범,신호위반,안전거리 미확보,서행 및 일시정지위반,부당한 회전,통행우선 순위위반,진로양보 의무 불이행,안전운전 의무 불이행,교차로 통행방법 위반,보행자 보호의무 위반,차로위반(진로변경 위반),직진 및 우회전차의 통행방해,철길건널목 통과방법위반,긴급자동차에대한 피양의무 위반,기타(운전자법규위반),정비불량 제차의 운전금지위반
01월,합계,"16,970",-,55,1,22,862,"1,981","1,642",35,103,1,3,"9,518","1,038",646,287,486,-,-,290,-
01월,01일,427,-,4,-,-,28,45,53,1,2,-,1,228,27,7,7,15,-,-,9,-
01월,02일,507,-,1,-,1,13,53,65,1,3,-,-,288,30,24,8,15,-,-,5,-
01월,03일,579,-,1,-,-,24,65,51,1,3,-,-,332,32,26,14,20,-,-,10,-
01월,04일,543,-,3,1,1,22,53,57,2,4,-,-,311,33,24,13,10,-,-,9,-
01월,05일,549,-,2,-,2,24,62,52,1,5,-,-,311,32,23,8,15,-,-,12,-
01월,06일,591,-,2,-,4,28,80,46,4,8,-,-,307,40,23,15,13,-,-,21,-
01월,07일,560,-,1,-,-,27,67,60,1,2,-,-,309,46,18,4,15,-,-,10,-
01월,08일,429,-,5,-,1,20,62,29,-,1,-,-,237,33,16,6,11,-,-,8,-
01월,09일,467,-,-,-,-,22,50,42,1,4,-,-,261,26,24,8,18,-,-,11,-
01월,10일,551,-,5,-,-,26,64,44,1,2,-,1,297,42,30,4,23,-,-,12,-
01월,11일,567,-,-,-,-,23,71,55,1,3,-,-,319,26,26,11,19,-,-,13,-
01월,12일,556,-,2,-,-,32,72,55,2,1,-,-,292,34,27,10,19,-,-,10,-
01월,13일,620,-,1,-,1,34,77,71,-,8,-,-,321,35,28,15,20,-,-,9,-
01월,14일,583,-,3,-,-,31,70,46,2,2,-,-,334,35,18,9,22,-,-,11,-
01월,15일,476,-,1,-,-,29,61,31,2,3,-,-,272,30,17,6,17,-,-,7,-
01월,16일,680,-,3,-,1,22,83,71,1,-,1,-,388,31,26,14,31,-,-,8,-
01월,17일,581,-,-,-,2,36,73,52,1,4,-,-,314,43,20,7,17,-,-,12,-
01월,18일,614,-,4,-,-,37,75,60,2,1,-,-,343,30,26,11,18,-,-,7,-
01월,19일,558,-,1,-,2,28,60,51,-,4,-,-,332,30,18,8,15,-,-,9,-
01월,20일,562,-,2,-,-,31,63,38,1,2,-,-,352,33,15,5,9,-,-,11,-
01월,21일,526,-,-,-,-,31,64,53,2,3,-,-,301,29,14,6,12,-,-,11,-
01월,22일,447,-,1,-,-,32,59,40,-,2,-,-,260,23,10,6,8,-,-,6,-
01월,23일,681,-,2,-,-,30,66,85,1,4,-,-,388,45,27,9,14,-,-,10,-
01월,24일,726,-,4,-,-,40,92,86,-,3,-,1,398,43,30,11,12,-,-,6,-
01월,25일,776,-,1,-,-,36,69,96,-,6,-,-,448,37,32,20,17,-,-,14,-
01월,26일,812,-,1,-,4,40,75,82,1,9,-,-,460,52,38,13,20,-,-,17,-
01월,27일,466,-,-,-,1,24,43,37,1,4,-,-,274,36,20,11,11,-,-,4,-
01월,28일,340,-,-,-,1,19,37,37,-,1,-,-,194,21,1,6,16,-,-,7,-
01월,29일,358,-,3,-,1,23,65,25,1,1,-,-,194,24,5,6,8,-,-,2,-
01월,30일,374,-,1,-,-,26,40,30,2,-,-,-,210,30,14,10,7,-,-,4,-
01월,31일,464,-,1,-,-,24,65,42,2,8,-,-,243,30,19,6,19,-,-,5,-
02월,합계,"14,832",-,62,7,23,670,"1,798","1,383",42,105,1,1,"8,191",958,572,267,446,-,-,306,-
02월,01일,474,-,3,-,-,19,61,48,-,1,-,-,245,40,23,9,10,-,-,15,-
02월,02일,499,-,2,1,1,35,47,48,1,7,-,1,261,39,29,5,12,-,-,10,-
