"","year","month","city","사고건수","사망자수","부상자수","pop","100만명당사고건수","100만명당사망자수","100만명당부상자수"
"1",2017,1,"강원",718,26,1237,1549212,463.46,16.78,798.47
"2",2017,1,"경기",4172,74,6438,12728620,327.77,5.81,505.79
"3",2017,1,"경남",910,30,1322,3374065,269.7,8.89,391.81
"4",2017,1,"경북",955,30,1503,2698803,353.86,11.12,556.91
"5",2017,1,"광주",586,10,974,1469583,398.75,6.8,662.77
"6",2017,1,"대구",933,10,1350,2484688,375.5,4.02,543.33
"7",2017,1,"대전",628,5,951,1514354,414.7,3.3,627.99
"8",2017,1,"부산",927,14,1287,3496779,265.1,4,368.05
"9",2017,1,"서울",3166,33,4692,9930478,318.82,3.32,472.48
"10",2017,1,"세종",35,2,56,244939,142.89,8.17,228.63
"11",2017,1,"울산",329,6,497,1171656,280.8,5.12,424.19
"12",2017,1,"인천",655,9,1019,2944009,222.49,3.06,346.13
"13",2017,1,"전남",741,30,1257,1902380,389.51,15.77,660.75
"14",2017,1,"전북",541,20,883,1863298,290.35,10.73,473.89
"15",2017,1,"제주",366,11,537,642388,569.75,17.12,835.94
"16",2017,1,"충남",678,30,1070,2097406,323.26,14.3,510.15
"17",2017,1,"충북",630,13,1026,1591674,395.81,8.17,644.6
"18",2017,10,"강원",706,24,1192,1547999,456.07,15.5,770.03
"19",2017,10,"경기",4464,67,6978,12841321,347.63,5.22,543.4
"20",2017,10,"경남",1021,35,1516,3377635,302.28,10.36,448.83
"21",2017,10,"경북",1258,38,1866,2691794,467.35,14.12,693.22
"22",2017,10,"광주",635,13,1062,1466716,432.94,8.86,724.07
"23",2017,10,"대구",1163,17,1684,2477186,469.48,6.86,679.8
"24",2017,10,"대전",673,12,1018,1505829,446.93,7.97,676.04
"25",2017,10,"부산",971,22,1353,3478109,279.17,6.33,389
"26",2017,10,"서울",3312,31,4646,9882810,335.13,3.14,470.11
"27",2017,10,"세종",74,2,142,274092,269.98,7.3,518.07
"28",2017,10,"울산",349,3,482,1165528,299.44,2.57,413.55
"29",2017,10,"인천",606,11,897,2948098,205.56,3.73,304.26
"30",2017,10,"전남",922,47,1526,1894676,486.63,24.81,805.41
"31",2017,10,"전북",716,33,1130,1854688,386.05,17.79,609.27
"32",2017,10,"제주",331,6,530,654750,505.54,9.16,809.47
"33",2017,10,"충남",823,38,1273,2114284,389.26,17.97,602.1
"34",2017,10,"충북",839,21,1403,1593577,526.49,13.18,880.41
"35",2017,11,"강원",746,18,1137,1549344,481.49,11.62,733.86
"36",2017,11,"경기",4732,66,7234,12858161,368.02,5.13,562.6
"37",2017,11,"경남",1060,34,1477,3379020,313.7,10.06,437.11
"38",2017,11,"경북",1236,47,1852,2691878,459.16,17.46,688
"39",2017,11,"광주",647,10,1016,1466328,441.24,6.82,692.89
"40",2017,11,"대구",1146,11,1667,2476557,462.74,4.44,673.11
"41",2017,11,"대전",700,5,1016,1504307,465.33,3.32,675.39
"42",2017,11,"부산",958,19,1276,3474534,275.72,5.47,367.24
"43",2017,11,"서울",3375,28,4600,9870167,341.94,2.84,466.05
"44",2017,11,"세종",68,2,91,276879,245.59,7.22,328.66
"45",2017,11,"울산",381,4,551,1165317,326.95,3.43,472.83
"46",2017,11,"인천",641,10,902,2948241,217.42,3.39,305.95
"47",2017,11,"전남",920,41,1416,1894426,485.64,21.64,747.46
"48",2017,11,"전북",648,27,992,1853886,349.54,14.56,535.09
"49",2017,11,"제주",392,5,589,656013,597.55,7.62,897.85
"50",2017,11,"충남",820,25,1208,2115586,387.6,11.82,571
"51",2017,11,"충북",907,27,1448,1594005,569.01,16.94,908.4
"52",2017,12,"강원",644,15,1035,1550142,415.45,9.68,667.68
"53",2017,12,"경기",4488,65,6722,12873895,348.61,5.05,522.14
"54",2017,12,"경남",929,27,1279,3380404,274.82,7.99,378.36
"55",2017,12,"경북",1088,35,1616,2691706,404.2,13,600.36
"56",2017,12,"광주",647,8,1038,1463770,442.01,5.47,709.13
"57",2017,12,"대구",1135,17,1639,2475231,458.54,6.87,662.16
"58",2017,12,"대전",685,11,1087,1502227,455.99,7.32,723.59
"59",2017,12,"부산",982,12,1317,3470653,282.94,3.46,379.47
"60",2017,12,"서울",3179,30,4508,9857426,322.5,3.04,457.32
"61",2017,12,"세종",82,2,112,280100,292.75,7.14,399.86
"62",2017,12,"울산",429,10,582,1165132,368.2,8.58,499.51
"63",2017,12,"인천",663,7,991,2948542,224.86,2.37,336.1
"64",2017,12,"전남",819,33,1291,1896424,431.87,17.4,680.75
"65",2017,12,"전북",604,31,899,1854607,325.68,16.72,484.74
"66",2017,12,"제주",347,7,525,657083,528.09,10.65,798.99
"67",2017,12,"충남",752,32,1179,2116770,355.26,15.12,556.98
"68",2017,12,"충북",776,13,1224,1594432,486.69,8.15,767.67
"69",2017,2,"강원",499,4,820,1548252,322.3,2.58,529.63
"70",2017,2,"경기",3359,55,5158,12741266,263.63,4.32,404.83
"71",2017,2,"경남",791,27,1071,3372266,234.56,8.01,317.59
"72",2017,2,"경북",961,20,1439,2696329,356.41,7.42,533.69
"73",2017,2,"광주",563,10,913,1468527,383.38,6.81,621.71
"74",2017,2,"대구",982,6,1406,2484578,395.24,2.41,565.89
"75",2017,2,"대전",546,6,866,1513877,360.66,3.96,572.04
"76",2017,2,"부산",857,13,1166,3495478,245.17,3.72,333.57
"77",2017,2,"서울",2728,26,3883,9931412,274.68,2.62,390.98
"78",2017,2,"세종",41,2,70,247600,165.59,8.08,282.71
"79",2017,2,"울산",308,7,469,1169957,263.26,5.98,400.87
"80",2017,2,"인천",586,8,849,2944266,199.03,2.72,288.36
"81",2017,2,"전남",598,18,933,1900797,314.6,9.47,490.85
"82",2017,2,"전북",544,21,871,1861955,292.17,11.28,467.79
"83",2017,2,"제주",332,11,505,643736,515.74,17.09,784.48
"84",2017,2,"충남",567,28,915,2099924,270.01,13.33,435.73
"85",2017,2,"충북",570,18,989,1592001,358.04,11.31,621.23
"86",2017,3,"강원",618,13,975,1547735,399.29,8.4,629.95
"87",2017,3,"경기",3805,52,5743,12753983,298.34,4.08,450.29
"88",2017,3,"경남",1016,24,1486,3371696,301.33,7.12,440.73
"89",2017,3,"경북",1138,36,1689,2694544,422.33,13.36,626.82
"90",2017,3,"광주",671,11,1086,1467766,457.16,7.49,739.9
"91",2017,3,"대구",1049,6,1491,2483488,422.39,2.42,600.37
"92",2017,3,"대전",586,7,895,1512189,387.52,4.63,591.86
"93",2017,3,"부산",988,12,1393,3493041,282.85,3.44,398.79
"94",2017,3,"서울",3098,29,4241,9926968,312.08,2.92,427.22
"95",2017,3,"세종",46,1,83,251178,183.14,3.98,330.44
"96",2017,3,"울산",331,3,474,1168843,283.19,2.57,405.53
"97",2017,3,"인천",629,9,914,2944630,213.61,3.06,310.4
"98",2017,3,"전남",719,25,1120,1899441,378.53,13.16,589.65
"99",2017,3,"전북",614,21,882,1860485,330.02,11.29,474.07
"100",2017,3,"제주",322,3,457,644924,499.28,4.65,708.61
"101",2017,3,"충남",706,27,997,2102327,335.82,12.84,474.24
"102",2017,3,"충북",711,16,1120,1591697,446.69,10.05,703.65
"103",2017,4,"강원",677,14,1080,1547579,437.46,9.05,697.86
"104",2017,4,"경기",4051,60,6253,12763961,317.38,4.7,489.89
"105",2017,4,"경남",1022,26,1460,3371703,303.11,7.71,433.02
"106",2017,4,"경북",1186,29,1770,2693810,440.27,10.77,657.06
"107",2017,4,"광주",602,15,928,1467002,410.36,10.22,632.58
"108",2017,4,"대구",1032,9,1456,2483105,415.61,3.62,586.36
"109",2017,4,"대전",597,2,935,1511396,395,1.32,618.63
"110",2017,4,"부산",955,11,1296,3491282,273.54,3.15,371.21
"111",2017,4,"서울",3172,22,4372,9922745,319.67,2.22,440.6
"112",2017,4,"세종",64,0,89,254112,251.86,0,350.24
"113",2017,4,"울산",370,6,553,1168501,316.65,5.13,473.26
"114",2017,4,"인천",669,4,942,2945305,227.14,1.36,319.83
"115",2017,4,"전남",847,31,1420,1899604,445.88,16.32,747.52
"116",2017,4,"전북",644,24,1018,1859703,346.29,12.91,547.4
"117",2017,4,"제주",380,4,556,646140,588.11,6.19,860.49
"118",2017,4,"충남",738,22,1192,2104463,350.68,10.45,566.42
"119",2017,4,"충북",711,14,1210,1592492,446.47,8.79,759.82
"120",2017,5,"강원",750,27,1208,1547453,484.67,17.45,780.64
"121",2017,5,"경기",4160,57,6316,12775175,325.63,4.46,494.4
"122",2017,5,"경남",1006,25,1465,3372586,298.29,7.41,434.38
"123",2017,5,"경북",1244,43,1822,2692859,461.96,15.97,676.6
"124",2017,5,"광주",631,11,941,1466741,430.21,7.5,641.56
"125",2017,5,"대구",1083,16,1482,2482476,436.26,6.45,596.98
"126",2017,5,"대전",686,11,1002,1509587,454.43,7.29,663.76
"127",2017,5,"부산",1014,8,1404,3489212,290.61,2.29,402.38
"128",2017,5,"서울",3284,27,4539,9919016,331.08,2.72,457.61
"129",2017,5,"세종",62,1,91,259157,239.24,3.86,351.14
"130",2017,5,"울산",353,5,496,1167960,302.24,4.28,424.67
"131",2017,5,"인천",643,7,932,2946270,218.24,2.38,316.33
"132",2017,5,"전남",900,39,1502,1899088,473.91,20.54,790.91
"133",2017,5,"전북",695,23,1073,1858927,373.87,12.37,577.21
"134",2017,5,"제주",324,5,455,647547,500.35,7.72,702.65
"135",2017,5,"충남",827,35,1236,2105959,392.7,16.62,586.91
"136",2017,5,"충북",840,26,1304,1592573,527.45,16.33,818.8
