"","date","city","pop"
"1","2017-01-01","서울","9930478"
"2","2017-02-01","서울","9931412"
"3","2017-03-01","서울","9926968"
"4","2017-04-01","서울","9922745"
"5","2017-05-01","서울","9919016"
"6","2017-06-01","서울","9914381"
"7","2017-07-01","서울","9908612"
"8","2017-08-01","서울","9902072"
"9","2017-09-01","서울","9891448"
"10","2017-10-01","서울","9882810"
"11","2017-11-01","서울","9870167"
"12","2017-12-01","서울","9857426"
"13","2018-01-01","서울","9851767"
"14","2018-02-01","서울","9845336"
"15","2018-03-01","서울","9838892"
"16","2018-04-01","서울","9830452"
"17","2018-05-01","서울","9820971"
"18","2018-06-01","서울","9814049"
"19","2018-07-01","서울","9806538"
"20","2018-08-01","서울","9799075"
"21","2018-09-01","서울","9793003"
"22","2018-10-01","서울","9784112"
"23","2018-11-01","서울","9774088"
"24","2018-12-01","서울","9765623"
"25","2019-01-01","서울","9766288"
"26","2019-02-01","서울","9770638"
"27","2019-03-01","서울","9770216"
"28","2019-04-01","서울","9766886"
"29","2019-05-01","서울","9762062"
"30","2019-06-01","서울","9757144"
"31","2019-07-01","서울","9751415"
"32","2019-08-01","서울","9744888"
"33","2019-09-01","서울","9740398"
"34","2019-10-01","서울","9736289"
"35","2019-11-01","서울","9732577"
"36","2019-12-01","서울","9729107"
"37","2017-01-01","부산","3496779"
"38","2017-02-01","부산","3495478"
"39","2017-03-01","부산","3493041"
"40","2017-04-01","부산","3491282"
"41","2017-05-01","부산","3489212"
"42","2017-06-01","부산","3486570"
"43","2017-07-01","부산","3484836"
"44","2017-08-01","부산","3484183"
"45","2017-09-01","부산","3482804"
"46","2017-10-01","부산","3478109"
"47","2017-11-01","부산","3474534"
"48","2017-12-01","부산","3470653"
"49","2018-01-01","부산","3467055"
"50","2018-02-01","부산","3465407"
"51","2018-03-01","부산","3463103"
"52","2018-04-01","부산","3460707"
"53","2018-05-01","부산","3458134"
"54","2018-06-01","부산","3455611"
"55","2018-07-01","부산","3453198"
"56","2018-08-01","부산","3451049"
"57","2018-09-01","부산","3449593"
"58","2018-10-01","부산","3446856"
"59","2018-11-01","부산","3444540"
"60","2018-12-01","부산","3441453"
"61","2019-01-01","부산","3438259"
"62","2019-02-01","부산","3436230"
"63","2019-03-01","부산","3434091"
"64","2019-04-01","부산","3431750"
"65","2019-05-01","부산","3429595"
"66","2019-06-01","부산","3427632"
"67","2019-07-01","부산","3425317"
"68","2019-08-01","부산","3423209"
"69","2019-09-01","부산","3421502"
"70","2019-10-01","부산","3418871"
"71","2019-11-01","부산","3416721"
"72","2019-12-01","부산","3413841"
"73","2017-01-01","대구","2484688"
"74","2017-02-01","대구","2484578"
"75","2017-03-01","대구","2483488"
"76","2017-04-01","대구","2483105"
"77","2017-05-01","대구","2482476"
"78","2017-06-01","대구","2481985"
"79","2017-07-01","대구","2481489"
"80","2017-08-01","대구","2479887"
"81","2017-09-01","대구","2478236"
"82","2017-10-01","대구","2477186"
"83","2017-11-01","대구","2476557"
"84","2017-12-01","대구","2475231"
"85","2018-01-01","대구","2474309"
"86","2018-02-01","대구","2473466"
"87","2018-03-01","대구","2472175"
"88","2018-04-01","대구","2471136"
"89","2018-05-01","대구","2469936"
"90","2018-06-01","대구","2469617"
"91","2018-07-01","대구","2468824"
