"","date","평균기온","강수량","적설량","풍속","습도","날씨","city"
"1","2017-01-01",2.7,NA,NA,5.4,75.9,"구름많음","서울"
"2","2017-01-02",5,0.3,NA,7.6,77.8,"구름많음","서울"
"3","2017-01-03",2,NA,NA,6.5,61.8,"맑음","서울"
"4","2017-01-04",3.9,NA,NA,6.1,55,"맑음","서울"
"5","2017-01-05",3.8,NA,NA,11.2,52.3,"구름많음","서울"
"6","2017-01-06",5.4,NA,NA,8.6,58.5,"구름조금","서울"
"7","2017-01-07",4.6,NA,NA,5,64.9,"구름조금","서울"
"8","2017-01-08",6.5,0,NA,9.4,61.4,"구름많음","서울"
"9","2017-01-09",1.5,0,NA,11.9,60.8,"구름조금","서울"
"10","2017-01-10",-3.7,NA,NA,11.5,45.1,"맑음","서울"
"11","2017-01-11",-3.8,NA,NA,7.6,36.4,"맑음","서울"
"12","2017-01-12",-2.2,0,0.1,11.2,43.1,"맑음","서울"
"13","2017-01-13",-6,0.6,1.5,10.4,47.4,"맑음","서울"
"14","2017-01-14",-8.4,NA,NA,13.7,33.3,"맑음","서울"
"15","2017-01-15",-6.6,NA,NA,8.3,35.3,"맑음","서울"
"16","2017-01-16",-3.8,NA,NA,5,37.6,"맑음","서울"
"17","2017-01-17",-2,NA,NA,5.4,46.6,"구름조금","서울"
"18","2017-01-18",-0.5,0,NA,4.7,68.9,"구름조금","서울"
"19","2017-01-19",-1.2,NA,NA,5.8,55.4,"구름많음","서울"
"20","2017-01-20",-4.4,4,6.6,10.8,70.3,"구름조금","서울"
"21","2017-01-21",-5.2,2.1,3.2,5.8,78.1,"구름조금","서울"
"22","2017-01-22",-8.3,0,0,13.7,51.3,"맑음","서울"
"23","2017-01-23",-8.9,NA,NA,7.9,48.4,"맑음","서울"
"24","2017-01-24",-7,NA,NA,7.2,49.6,"맑음","서울"
"25","2017-01-25",-5.2,NA,NA,5.4,50.6,"맑음","서울"
"26","2017-01-26",-1.3,0.3,NA,7.9,64.4,"구름많음","서울"
"27","2017-01-27",-2.6,3,NA,12.2,47.3,"맑음","서울"
"28","2017-01-28",-1.6,NA,NA,6.1,38,"구름많음","서울"
"29","2017-01-29",0.8,4.5,2.1,6.5,71.1,"흐림","서울"
"30","2017-01-30",-4.8,0.1,0.1,11.9,61.4,"맑음","서울"
"31","2017-01-31",-5.4,NA,NA,6.1,44.8,"구름조금","서울"
"32","2017-02-01",-4,NA,NA,9,44.5,"맑음","서울"
"33","2017-02-02",-2.7,NA,NA,9.7,52.9,"맑음","서울"
"34","2017-02-03",1.5,NA,NA,5.4,65.4,"맑음","서울"
"35","2017-02-04",0.9,NA,NA,5.8,69.4,"구름많음","서울"
"36","2017-02-05",1.2,0.5,NA,7.6,75.3,"구름많음","서울"
"37","2017-02-06",-1.7,NA,NA,10.8,51,"맑음","서울"
"38","2017-02-07",-2,NA,NA,5.4,45.4,"구름조금","서울"
"39","2017-02-08",-2.2,NA,NA,7.2,50.1,"구름많음","서울"
"40","2017-02-09",-5.3,NA,NA,13.7,47,"맑음","서울"
"41","2017-02-10",-6.6,NA,NA,14.8,44.3,"맑음","서울"
"42","2017-02-11",-4.8,NA,NA,10.1,45.4,"맑음","서울"
"43","2017-02-12",-2.2,NA,NA,7.6,51.3,"맑음","서울"
"44","2017-02-13",0.1,NA,NA,5.8,59.6,"구름조금","서울"
"45","2017-02-14",0.3,NA,NA,9,46,"맑음","서울"
"46","2017-02-15",1.8,NA,NA,5,52.1,"맑음","서울"
"47","2017-02-16",5.5,0,NA,7.2,63.9,"구름조금","서울"
"48","2017-02-17",0.8,4,NA,14,56.9,"구름조금","서울"
"49","2017-02-18",-2.6,NA,NA,10.1,49.4,"맑음","서울"
"50","2017-02-19",2.3,1,NA,6.8,68,"구름많음","서울"
"51","2017-02-20",-1.5,0.5,NA,15.1,53.8,"맑음","서울"
"52","2017-02-21",-0.6,NA,NA,5.8,37.1,"구름조금","서울"
"53","2017-02-22",1.7,5.1,NA,9.7,70.8,"흐림","서울"
"54","2017-02-23",-1.5,NA,NA,13.7,56.4,"맑음","서울"
"55","2017-02-24",-0.8,NA,NA,7.9,51.3,"맑음","서울"
"56","2017-02-25",2.6,NA,NA,8.3,63.6,"맑음","서울"
"57","2017-02-26",3.6,NA,NA,7.6,52.8,"맑음","서울"
"58","2017-02-27",3.7,NA,NA,6.5,37.4,"맑음","서울"
"59","2017-02-28",5.6,NA,NA,7.2,41.5,"맑음","서울"
"60","2017-03-01",5,5,NA,6.5,65,"흐림","서울"
"61","2017-03-02",1.8,0.5,NA,11.2,59.5,"구름조금","서울"
"62","2017-03-03",3.3,NA,NA,7.6,54.4,"맑음","서울"
"63","2017-03-04",5.7,NA,NA,5.8,60,"맑음","서울"
"64","2017-03-05",5.2,0.5,NA,7.6,71.6,"구름많음","서울"
"65","2017-03-06",0.1,NA,NA,14.4,41.3,"맑음","서울"
"66","2017-03-07",-1.3,0,NA,14,37.5,"맑음","서울"
"67","2017-03-08",-0.1,0,NA,11.2,50.6,"맑음","서울"
"68","2017-03-09",3.2,NA,NA,11.2,47.3,"맑음","서울"
"69","2017-03-10",4.8,NA,NA,7.9,37.4,"맑음","서울"
"70","2017-03-11",7.3,NA,NA,6.5,37.4,"구름조금","서울"
"71","2017-03-12",8.2,0,NA,7.2,58.4,"흐림","서울"
"72","2017-03-13",6.9,NA,NA,9,49.8,"구름조금","서울"
"73","2017-03-14",5.8,NA,NA,11.5,37.5,"맑음","서울"
"74","2017-03-15",6.3,NA,NA,7.6,34.9,"맑음","서울"
"75","2017-03-16",6.2,NA,NA,6.8,41.8,"구름조금","서울"
"76","2017-03-17",7.7,NA,NA,7.2,43.1,"맑음","서울"
"77","2017-03-18",9.5,NA,NA,8.3,34.1,"구름조금","서울"
"78","2017-03-19",10.9,NA,NA,5.8,36,"맑음","서울"
"79","2017-03-20",10.2,NA,NA,6.5,40.4,"구름많음","서울"
"80","2017-03-21",7.4,NA,NA,11.2,48.1,"맑음","서울"
"81","2017-03-22",7.6,NA,NA,9,32.8,"구름조금","서울"
"82","2017-03-23",9.1,NA,NA,7.9,34,"구름조금","서울"
"83","2017-03-24",8.7,NA,NA,7.6,41.4,"구름많음","서울"
"84","2017-03-25",8.1,NA,NA,7.6,41.1,"구름많음","서울"
"85","2017-03-26",7.3,NA,NA,7.9,53.1,"구름많음","서울"
"86","2017-03-27",6.1,0.4,NA,9,67.4,"구름많음","서울"
"87","2017-03-28",7.1,NA,NA,6.8,59.8,"구름많음","서울"
"88","2017-03-29",8.8,NA,NA,8.3,54.9,"구름조금","서울"
"89","2017-03-30",10.6,NA,NA,6.8,50,"구름조금","서울"
"90","2017-03-31",8.6,1.5,NA,8.6,70.6,"구름많음","서울"
"91","2017-04-01",9,1,NA,7.6,60.5,"구름조금","서울"
"92","2017-04-02",9,NA,NA,7.6,53.1,"맑음","서울"
"93","2017-04-03",11.4,NA,NA,7.6,45.6,"맑음","서울"
