"행정구역(시군구)별",2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"전국",51704332,51712221,51714935,51722903,51732586,51736224,51744948,51753820,51762492,51769092,51774649,51778544,51779148,51779892,51784669,51790131,51796179,51801449,51806977,51812153,51817851,51821881,51824477,51826059,51826287,51829538,51833175,51836763,51840339,51842636,51845612,51847538,51849253,51850705,51851427,51849861
"서울특별시",9930478,9931412,9926968,9922745,9919016,9914381,9908612,9902072,9891448,9882810,9870167,9857426,9851767,9845336,9838892,9830452,9820971,9814049,9806538,9799075,9793003,9784112,9774088,9765623,9766288,9770638,9770216,9766886,9762062,9757144,9751415,9744888,9740398,9736289,9732577,9729107
"부산광역시",3496779,3495478,3493041,3491282,3489212,3486570,3484836,3484183,3482804,3478109,3474534,3470653,3467055,3465407,3463103,3460707,3458134,3455611,3453198,3451049,3449593,3446856,3444540,3441453,3438259,3436230,3434091,3431750,3429595,3427632,3425317,3423209,3421502,3418871,3416721,3413841
"대구광역시",2484688,2484578,2483488,2483105,2482476,2481985,2481489,2479887,2478236,2477186,2476557,2475231,2474309,2473466,2472175,2471136,2469936,2469617,2468824,2467385,2466454,2465145,2464002,2461769,2460382,2458138,2455829,2454154,2452291,2450478,2448666,2446745,2445270,2443528,2441581,2438031
"인천광역시",2944009,2944266,2944630,2945305,2946270,2946915,2947803,2948014,2947298,2948098,2948241,2948542,2950771,2951629,2951442,2952476,2953255,2953883,2953841,2953206,2953116,2953333,2953844,2954642,2955916,2956063,2956513,2956700,2957179,2957024,2956828,2956525,2956804,2956984,2957249,2957026
"광주광역시",1469583,1468527,1467766,1467002,1466741,1466451,1466415,1466642,1466639,1466716,1466328,1463770,1464037,1463100,1462033,1460972,1460564,1460745,1461203,1461463,1461790,1461904,1461009,1459336,1459832,1459208,1458930,1458940,1459003,1459024,1459486,1459438,1459632,1459360,1458915,1456468
"대전광역시",1514354,1513877,1512189,1511396,1509587,1508137,1507597,1507116,1506741,1505829,1504307,1502227,1501378,1499187,1497572,1496123,1495234,1494878,1495029,1494286,1493654,1492589,1491716,1489936,1488725,1487605,1486647,1485509,1484398,1482938,1481701,1480520,1479641,1478436,1476955,1474870
"울산광역시",1171656,1169957,1168843,1168501,1167960,1167525,1166942,1165909,1165385,1165528,1165317,1165132,1164489,1163151,1162074,1161303,1160657,1159594,1158847,1157964,1157420,1156917,1156260,1155623,1154786,1153735,1152800,1152293,1151685,1151301,1150891,1150294,1149873,1149409,1148922,1148019
"세종특별자치시",244939,247600,251178,254112,259157,263056,266075,269102,271410,274092,276879,280100,283198,288079,291182,295041,297604,300332,302703,305648,308068,310403,312103,314126,316814,320326,322693,324417,325777,327643,330298,332098,333757,336356,338647,340575
"경기도",12728620,12741266,12753983,12763961,12775175,12783741,12795378,12810014,12827633,12841321,12858161,12873895,12890445,12908010,12925761,12941604,12958648,12975176,12993165,13012486,13027338,13045223,13061074,13077153,13090648,13104696,13116579,13129508,13145482,13159178,13176011,13193943,13207219,13218912,13228177,13239666
"강원도",1549212,1548252,1547735,1547579,1547453,1547829,1547387,1547455,1547768,1547999,1549344,1550142,1548078,1546259,1546152,1545452,1545291,1544843,1544258,1543668,1543780,1543441,1543556,1543052,1541693,1540445,1540488,1540794,1540776,1540855,1540714,1540780,1540721,1540897,1541399,1541502
"충청북도",1591674,1592001,1591697,1592492,1592573,1592634,1592817,1593022,1593313,1593577,1594005,1594432,1593903,1594066,1594708,1595164,1595822,1595772,1596161,1596324,1596734,1597709,1598184,1599252,1599155,1598868,1598775,1599488,1599854,1599650,1599368,1599402,1599339,1599499,1599651,1600007
"충청남도",2097406,2099924,2102327,2104463,2105959,2107562,2109230,2111419,2113033,2114284,2115586,2116770,2117685,2118099,2119468,2120666,2121618,2122220,2122531,2123368,2123776,2124524,2125409,2126282,2125797,2125372,2125778,2125912,2125732,2125855,2125349,2125160,2124855,2124619,2124302,2123709
"전라북도",1863298,1861955,1860485,1859703,1858927,1857815,1856921,1855985,1855450,1854688,1853886,1854607,1851694,1849543,1848066,1847089,1846144,1844639,1843009,1841427,1840544,1839358,1838049,1836832,1834532,1832227,1830499,1829273,1827871,1826717,1825381,1823982,1822883,1821813,1820799,1818917
"전라남도",1902380,1900797,1899441,1899604,1899088,1898065,1897681,1895974,1895233,1894676,1894426,1896424,1893444,1891308,1890423,1890412,1889726,1887991,1886297,1884285,1882637,1881420,1881518,1882970,1878904,1875862,1874232,1873183,1871718,1870587,1868856,1867094,1865915,1865039,1865588,1868745
"경상북도",2698803,2696329,2694544,2693810,2692859,2691727,2690974,2690671,2691502,2691794,2691878,2691706,2688747,2685633,2683661,2682897,2682316,2681090,2679546,2678272,2677762,2676904,2677014,2676831,2674005,2671587,2671036,2670375,2669731,2669850,2668836,2667657,2666795,2666072,2665775,2665836
